id,name,business_id,user_id,stars,date,text,useful,cool,funny
11,"Sam Wo Restaurant",11,11,2,2017-3-20,"I ate here once because this place is known for their fresh noodle wraps.  That was the only thing worth getting.  The wonton noodle soup and jook was way below par and the rice dishes bland.  This place might have been featured on the tonight show but I'm not going to be tuning in to this spot anytime soon.  Service was better than expected",304,95,60
12,"Street Taco",12,12,1,2016-4-26,"I have lived in San Francisco more than 35 years. I love taquerias.  I love tacos.  I love San Francisco tacos. I have eaten hundreds -- probably thousands -- of tacos at taquerias in and around San Francisco as well as up and down the West Coast and throughout Mexico\, New Mexico and Texas. I can without hesitation say that the tacos we had at at Street Taco were the worst I have ever had. The nice-looking homemade style corn tortillas were soggy\, the texture of very wet cardboard.  The grayish meat had a similar texture. (The word 'mushy' comes to mind.)  Topped with a paltry dollop of not super fresh Pico de Gallo\, the flavors melded to create a taste that was vaguely reminiscent of... well\, of nothing.  To say the taste was bland would be inaccurate because 'bland' indicates the presence of at least some flavor\, some taste.  These tacos were bizarrely virtually tasteless.  I mean I had to put salt on the tacos (on carnitas no less!) to sense any flavor.",219,247,73
13,Tselogs,13,13,5,2016-12-8,"Came here randomly when visiting SF\, a couple of friends and I were just looking for places to eat. We were not disappointed. Tselogs is delicious! ",373,202,48
14,DragonEats,14,14,1,2017-7-17,"Such a huge disappointment! Especially for the price! Why is this place so popular! I don't understand AT ALL. The food around here must really suck if this place had a line out the door during lunch time. 1/5 would not order again. Maybe I just got a shitty sandwich from a frantic worker in a rush... ",53,33,37
15,Bite,15,15,4.5,2016-6-26,"One of the best sandwiches I've had in the city!",154,200,59
16,"Tacos Club",16,16,2.5,2015-7-8,"This was a decent place for a taco.  It's a tiny little place with only a few tables, but I went during a time that it wasn't busy.  The tacos were good\, but not great.  I was expecting more flavor and authenticity.  Even so\, it hit the spot.",154,226,64
17,Grubbin,17,17,5,2016-5-18,"Stop everything and head over to Grubbin' RIGHT NOW. I first discovered this joint a few years ago and have been a loyal customer since.",408,259,74
18,"Tu Lan",18,18,5,2017-9-6,"Tu Lan is definitely a hidden gem. I grew up eating here and this place was actually my first experience eating Vietnamese food. It's definitely a hole in the wall but based on experience\, hole in the walls have the best food. My family and I typically order the ginger fish\, Vietnamese fried rice\, imperial rolls\, HK style noodles and the pork kebabs. The food is so incredibly delicious and no other place even compares.",384,295,78
19,"Mae Krua",19,19,5,2016-12-23,"They can cook spicy Thai food\, without the chili overpowering the flavor of the food. When you ask for very spicy here\, you get very spicy food. They don't play it safe. They boldly go where other places fear to go (no one returned food 'cus it's not spicy enough\, maybe we should).",351,208,0
20,"The View Cafe",20,20,4.5,2017-3-22,"The food is good here.  Besides your normal sandwiches for lunch\, which are cheap and good\, they have different specials each day. eFrom Won Ton soup to chicken\, it is good and fairly priced.  Breakfasts here are also good. a breakfast sandwich always hits the spot from them.  The staff are super nice and helpful.  A pleasant experience all around.",235,260,7
21,"Crepes A Go Go",21,21,5,2015-10-16,"My little one brought me here last Friday after having a few drinks and it hit the spot. I had a savory crepe - sautéed peppers & onions\, jack&cheddar\, and seasoned chicken. They didn't skimp in the meat at all - there was at least 4-5oz in here! The owner was very kind and didn't charge my little for whipped cream on her Nutella strawberry crepe. Overall tally price for 2 crepes was $17 but they were huge and really good! The crepe is thick enough to hold all of the filling so it wasn't as messy to eat as other crepes I've had.",110,12,80
22,Tempest,22,22,1,2017-2-18,"staff is rude and thuggish bartenders. cheap drinks but bad service.",12,173,75
23,"Kebab King",23,23,1,2016-11-10,"Mediocre food for people who dont care what theyre eating.Butter chicken\, chicken tikka\,kabab masala\,lamb masala etc are all the same sauces with zero variations in flavor.What we had was essentially all of the above in partially cooked tomato puree.The rasmalai was absolutely horrendous and tasted like  wet cloth dipped in god knows what.Had one bite and discarded the rest of it.If you are a pakistani restaurant stick to making food from pakistan and stay away from the Indian stuff. Avoid this place if you can. For good pakistani food head over to Marin city or do Shalimar.",451,124,22
24,"Urban Ritual",24,24,5,2015-8-12,"AMAZING!!! My new favorite boba spot!! I've been around all of the Bay's boba places, I've worked at a boba place\, AND I'm Taiwanese so my judgment is pretty sound if I do say so myself!! I have zero issues with this place! They have more creative drinks and they are done super well. Yenno\, sometimes stores like to experiment but aren't always successful\, but this place is solid. Worth the steeper price compared to the average boba shop.",497,278,84
25,Taboun,25,25,1,2018-9-2,"I will not be going back EVER !!! Before I condemn a place I try it again. First of all I was in full dress (uniform) and was entitled to a 10% discount\, whatever. The lame excuse from the lady behind the counter was the bill's already rung up. Ok\, but what part of my repping didn't you see? Christ my call letters pretty much jump out at you. Then I feel obliged to drop a tip because I don't wanna come out of this hellhole with food poisoning because the food isn't FRESH.",254,93,92
26,"Hops & Hominy",26,26,3,2018-10-13,"It's a good date spot if you're looking for a place that's crowded\, lively\, and hipster. It just might be a little too loud\, but hey that's an excuse to lean in a little closer\, am I right?",73,275,25
27,Barbacco,27,27,5,2017-7-23,"The corn fusilli pasta will always be my favorite but the lasagna is also amazinG\, as are the meatballs. Honestly\, there is nothing I don't love here.",448,267,19
28,Barcha,28,28,5,2016-6-14,"Good Mediterranean food... definitely recommended. 4.5 stars for very flavorful and good food.",146,49,71
29,"Sauce - Belden",29,29,3.5,2017-7-23,"Came here for a grad dinner with several friends. It is a really cool spot in an alleyway and has a great vibe\, but the food was nothing special.",46,257,23
30,"Per Diem",30,30,5,2018-10-18,"Per Diem is a great spot for lunch or dinner. I've been fortunate enough to dine here a handful of times as I work nearby!",52,241,86
31,"Lao Table",31,31,5,2014-7-13,"Overall\, this was definitely one of the best more memorable meals we've had in a while. $100+ for 2 people with drinks. The only thing that wasn't really memorable were the cocktails. Next time will opt for a beer or a glass of sparkling wine to cut some of the spiciness. Can't wait to come back and try out some of the other items on the menu.",279,147,43
32,"RM 212",32,32,5,2015-12-26,"If you believe just one guy on the internet today - believe me you have to check this place out. Food is all cooked fresh out of an open place kitchen\, we sat here for some tapas and beers (recommend the Grape Fruit Sculpin\, San Diego). Owners are incredibly friendly\, and my colleague and I are from the UK & TN respectively\, so not even like we are locals. The cab drivers never mentioned this as a 'place we had to try'\, which sucks - because we leave today and I'd love to come back. Keep doing what're your doing guys\, what a find.",67,291,77
33,Tropisueño,33,33,1,2016-10-7,"Location location location - usually a good thing. Reason for 1 star was subpar Mexican food that is really just turns out to be a bad attempt at Tex Mex food. If this was in Texas or New Mexico\, it would fail. If this was in LA\, it would fail. Waste of calories.",246,260,52
34,"Akiko’s Restaurant",34,34,5,2017-2-14,"Akiko's sashimi quality is stellar. Having lived in Japan\, I can tell you that this is the real deal. Yes\, it can be on the pricier side if you order per piece but I would recommend doing the sashimi moriawase which is a 12 piece sashmi tasting. At 39 dollars\, it is definitely more economical than ordering 12 individual pieces (ranging from 4-7 dollars per piece).",312,105,0
35,"Caffe Macaroni",35,35,3,2017-11-28,"I have so many mixed emotions about this place.  I can see why it has great ratings but I can also see why it has some terrible ones. We walked up on a Saturday night with no reservations at about 930pm.  There were only 2 other tables taken.  The dining room itself is literally the cutest thing.  It is tiny and cute and transports you to a whimsical place.  Mario (the owner?) was standing outside to greet us but it seemed like he was upset we were coming in.  I sat at the wrong seat and he yelled at me. I wanted to like this place but it just didn't happen.",315,288,30
36,"La Fusión",36,36,5,2017-3-30,"For those looking for an experience blending both great food and amazing service\, this is the place! Top picks: empanadas\, ceviche and braised lamb shank are delicious choices.  The yucca and chicken chicharrón was ok.  The bartender alex is super friendly and attentive.",465,196,35
37,"Takoba SF",37,37,5,2015-8-10,"This tiny sushi restaurant tucked above a bar called John Collins is some of the best sushi in San Francisco\, with a simple but diverse menu and incredible fresh fish. Bonus - if you come for dinner or order takeout\, you can grab a drink downstairs at the bar while you wait. Now that I've left San Francisco\, I can safely let the secret out.",411,253,37
38,"Fog Harbor Fish House",38,38,5,2018-8-8,"Great seafood restaurant at Pier 39! At first I thought this place is one of the tourists trap but I am glad I gave it a try! I can say this restaurant is upscale\, in terms of service\, food quality\, atmosphere and of course the price. The restaurant's lobby is pretty cool with the fireplace and sofa to relax with a glass of cocktail while waiting for your table.",55,223,58
39,"Izakaya Yoki",39,39,5,2015-11-2,"Two of my favorite cuisines in one place: Korean and Japanese. The new management really did something special with the place. So many types of sushi rolls to choose from that were all delicious. The Galbi Jjim (Korean braised short ribs) was the BEST and the Jjampong (spicy seafood noodle soup) great as well. I'm Korean so\, trust me lol. To top it off\, the beer was served in a chilled beer glass the way it's supposed to be. Also\, great location near the downtown bars!",243,109,74
40,"The Pink Elephant Alibi",40,40,2,2016-4-7,"Very cool spot! Good food and drinks and nice vibe. \n Lots of beer options\, I got a stout. The flatbread with fried egg and mascarpone was awesome!! Oysters were good. Wings and plantains were OK. Nice energy at this place... divey and loungy. Few TVs\, lots of tables. Super sweet\, friendly and pretty waitress",480,213,70
41,Marlowe,41,41,5,2017-7-22,"Love\, love\, love! Yum! My friend and I loved our dining experience here! Our first time eating here\, great location on the corner of 4th and Brannan. Easy street parking in the eve-loads of meter parking. Also\, there is a nearby parking garage. The location is just a couple blocks from ATT Park\, so be mindful of game times because this area can get super busy with traffic. We came on a non-game night\, easy drive in/out of the area. I'd definitely come back.",39,248,98
42,Hogwash,42,42,5,2015-10-11,"I've been recently here with my family and I was greatly surprised. Everything was so delicious. I mean, I expected that it will be good\, but still\, you won my heart. But the sausages are the best. If you come here\, I strongly advise you to try them. You wont regret. As a whole\, the bar is very comfortable and kinda cozy inside. I really enjoyed that evening. I want to thank the kitchen stuff and the chef for such an amazing food. Definitely wanna go there again.",447,181,24
43,Bask,43,43,3,2014-9-30,"I'm surprised by the reviews\, the food was mediocre at best.  Also\, laminated menus already speak to the freshness and creativity of the food\, nothing changes.",99,247,10
44,"Archive Bar & Kitchen",44,44,5,2018-12-7,"Love\, love\, LOVE this place. My friend and I usually come here to celebrate a special occasion after work (happy hour!) but it's typically packed. However\, the staff are super accommodating and even if a table says reserved\, it could be that they were reserving for walk-ins. I've gotten lucky the last 3 times\, for sure!",319,97,3
45,"Barbarossa Lounge",45,45,5,2018-1-27,"I went to Barbarossa lounge on a whim when I was out in San Fran! Wow let me tell you! Staff amazing!",407,184,71
46,Delarosa,46,46,3,2014-7-12,"It's important to be consistent and unfortunately this placed slipped during our last visit offering pizza that was way under seasoned and appetizers missed the mark as well.  Service was great as usual.",173,253,53
47,"E&O Kitchen and Bar",47,47,5,2015-12-7,"Great service\, awesome happy hour deals\, and fun edge-of-Chinatown location! The best part was service- although we waited 45 min for food at the communal table due to a backup in the kitchen\, our server was incredible. She checked on us multiple times to apologize for the wait\, and even brought out the ahi tuna poppers on the house! After our pupu platter arrived\, we were treated to a second round of our drinks due to the wait! Best service anywhere on our SF vacation.",128,204,53
48,"The Barrel Room",48,48,1,2015-4-16,"Took 30 mins to get a drink and another 30 mins to close out. Will not be back again.",342,142,7
49,Aquitaine,49,49,5,2017-7-6,"I must say\, the French just know how to serve up amazing eats. Our group thoroughly enjoyed every bite\, and sip (because we did get a nice glass of wine to pair with the meal). Our glasses were always full\, and the food came out perfectly paced for our large\, hungry group. A cozy spot that is not to be missed! C'est magnifique\, Aquitaine.",136,92,16
50,Matko,50,50,4.5,2018-9-26,"Nice to see a healthy alternative for lunch.  The taste is authentic Korean.",185,287,86
51,"Wayfare Tavern",51,51,4,2016-2-30,"Best burger in SF. Fresh beef\, great buns\, make sure you get the fried egg on top. Yummy fries.",313,121,48
52,"Kokkari Estiatorio",52,52,4,2015-4-13,"Ok yes this place is good more for the ambiance\, service and freshness of their product.  This place for me lacks flavor\,  I can't seem to get an understanding of Mediterranean food... not saying everything should be drenched in thick and heavy butter sauces but give me something to work with here.  THe fish and the cheese appetizer was most memorable for me.  Service is one of the best in the city outside of a Michelin Star joint.",117,98,27
53,Hakkasan,53,53,5,2018-2-21,"I'm a huge Chinese food lover but don't like to test my luck at most hole-in-the-wall Chinese joints in the Sunset or Richmond\, since they can be so hit or miss. So now I go to either Mission Chinese or Hakkasan. Great date night spot for the beautiful and luxurious interior and excellent food. Pricier than your average Chinese spot but if you're celebrating a special event or just want some great fried rice in an upscale setting\, look no further. Excellent food & service!",300,183,79
54,Trestle,54,54,5,2018-3-31,"Amazing value at $38 for a 3 course meal in SF with an extra $10 for the pasta course.  No where can you find such a great value in SF.  Most entrees are already $30-40.  They change their menu quite frequently due to the limited selection of choice of one of 2 appetizers\, pasta\, entree and dessert courses.  Even if you went twice in one week\, the dishes may be different.  I'm all about value\, but it has to taste great\, which Trestle completely delivers.  The chicken was moist and the vegetables that it came with was crispy.  The red pepper soup was a pleasant surprise.  It was slightly sweet and had a depth of red pepper flavor.  The fresh green pea risotto was the right amount of creamy and the rice is still intact with a little bit of chew.  Definitely a highlight of the meal and we were provide a huge portion.",477,137,83
55,"The House",55,55,5,2018-3-30,"The House has been one of our favorite restaurants.  The Asia fusion flavor is so on point.  The Seabass is a must try and the home made desserts are yummy.  Try the mango tapioca which is so light and refreshing.",228,263,59
56,"International Smoke",56,56,2,2016-10-29,"This place is not really what it's cracked up to be. I'm a bit disappointed. I've heard so much about this place and heard a lot of great reviews\, but I honestly feel like the only reason this is popular is because it's Ayeshia Curry's restaurant. Overall\, the restaurant ambiance was nice\, service was ok. Food was WAY over priced. Save your money and go to a better place for southern food.",483,230,1
57,"The Fly Trap",57,57,5,2014-10-6,"best beef jerky. . . . . . ugh said i need to post more to post review.... best beef jerky in town best beef jerky in town best beef jerky in town",387,258,43
58,"Bluestem Brasserie",58,58,2,2014-2-17,"Only giving two stars cause our waiter was funny. But for real WHAT THE FUCK IS THIS PLACE ????\n I was excited to eat here when we walked in as it looks very classy\, buuut classy people evidentially eat some really weird shit. I'm just gonna leave it at.... they have a 25 dollar baked potato",46,136,87
59,BIX,59,59,5,2015-11-9,"Love this place\, great food\, great music! Staff was very nice! First time here\, birthday surprise! Very welcoming and will continue to visit when in San Francisco!!!",493,271,88
60,Cotogna,60,60,5,2018-11-17,"One of my favorite places in SF! Must try!!!\nThey change their menu often and it is always good. I have had some friends who did not love it every time\, but for me\, it was always a perfect place :) \n Nice ambience\, food\, service\, interior and great desserts. Cotogna could be a place that meets your expectation- (somewhat nice) casual meal\, sparkling bday lunch\, and also a lovely date at the same time.",192,6,53
61,Perbacco,61,61,5,2015-12-29,"Ordered the agnolotti\, ragu\, and raviolia for two. Did not disappoint! Favorite dish was the ragu\, but the raviolia with a close second. The three dishes was plenty to feed two hungry mouths.\nAlso\, the staff here are great! Would definitely come back again",299,258,92
62,Nico,62,62,3.5,2015-8-17,"2Nd time eating here today.1st time was great but now i dont think so. My husband ordered chicken fried steak. The gravey tasted very strange. He scraped most of it off & continued 2eat. I ate1/2half of 1 of his hashbrown paties which had some gravey on it . W/in 30 mins i threw up \,w/in 1hr he also did the same & has not stoped all day vomiting.  I finally called & spoke 2a manager\, the lady was nice &suggested  i call the operarions manager. I said no . but u need thow that gravey shit away!!",10,0,0
63,"Mourad Restaurant",63,63,5,2017-11-9,"Great food\, great service\, and great ambiance. I got a very warm and friendly call when the restaurant called to confirm my reservation. She referenced my note about it being our anniversary. They printed menus wishing us a Happy Anniversary.\n The menu encompassed a variety of global flavors\, styles\, and cuisine. We had caviar\, squid that looked like linguine\, lamb\, uni\, duck\, mint tea. It was all so wonderful. My favorite was the duck dish. I'm not usually a fan of duck\, but I was blown away by this dish. The foie gras was amazing. It wasn't heavy at all! Some of my other favorites were squid with pine nuts\, couscous with uni and peas\, and seared lamb. There was a nice course of mint tea between the main dishes and dessert. It was all a very successful menu. Everyone on the staff was really nice. I highly recommend this place!",33,0,0
64,"5A5 Steak Lounge",64,64,4,2015-8-1,"We used to walk over there from SOMA and enjoy the yummy steaks and salads for diner.\n We never had a bum ruin our meal in 5A5 and so my memories of it are all positive. But getting there\, traversing Justin Herman Plaza could be hit an miss.",219,178,37
65,Prospect,65,65,4,2014-5-19,"Uh\, YUM! \n Steak\, cooked to perfection paired with a great wine recommendation and cool desserts!\nThis place is worth checking out. We have walked by too many times to count and finally\, after four years we made it to dinner.",18,102,84
66,"Trou Normand",66,66,5,2015-7-27,"Finally got to come here as this place was on my cocktail/charcuterie list of places to try.  Sat at the bar where it was quieter than being in the seated table area.  I remember getting two cocktails\, a plate of cheese and meats\, and feeling super happy.",309,283,39
67,"The Rotunda",67,67,5,2018-8-28,"I tried Rotunda's tea service (high tea style) on a Saturday. It is a beautiful and grandiose place. The seating is arranged to circle around the footprint of the dome and there is nothing in the center making the place very spacious. \nThe service was impeccable. Our waiter first served a cup of chicken consomme followed by bread with strawberry butter. The bread was crunch on the outside and very soft inside. Then\, we got our three tray high tea fare. Both the savory and sweet items were delicious. Savory pesto scone in particular was special. The clotted cream and strawberry jam with sweet scone was the perfect combo. The crab cone and brie over ham bruschetta also stood out. I tried the Anji white tea (although it tastes more like green tea). \nI highly recommend tea service at the Rotunda.",269,192,30
68,Pabu,68,68,5,2016-12-7,"Pabu is incredible! The space is very warm and comfortable but high end. From the sake to the sushi\, everything was delicious and thoughtfully prepared and presented. The service was excellent and knowledgeable (thanks Aleks!) \nDefinitely set aside an evening to dine here\, and try as many things as you can!",411,0,0
69,Cockscomb,69,69,5,2015-2-1,"I ate Cockscomb twice in one week - that good. First time\, some friends asked me to pick the spot. The handy Yelp app guided me there. The second time\, it was a planned team dinner. Trust me when I say I wasn't disappointed that I was gonna eat there again. \nIf you're a fan of oysters\, wood-fired oven cooking\, chop house meats and fish options - you will be a fan of Cockscomb. ",422,142,2
70,"Tadich Grill",70,70,4,2014-6-5,"My second time here and I have to say that the ambiance\, the experience\, and the wait staff are top notch. It's just that the food isn't going to blow you away. Come here for the experience. \nThe first time I came here I had the Cioppino\, and while it was tasty\, I didn't think it was something I would order again. The second time I had the fish and chips expecting to have my mind blown\, and again\, thought it was just pretty good. I realized it's more about the experience\, possibly the alcohol\, and the awesome wait staff that makes this place what it is. \nI'll definitely come again\, I just won't expect 4 star food. Really fun place\, and possibly better as a watering hold than a foodie joint!",234,34,64
71,"Gaspar Brasserie",71,71,4,2014-11-9,"I fell in love with sole when I was in Belgium and was excited to see it on the menu here. So\, of course\, I had to order it! Definitely does justice to what the Belgians served. The exterior was a tiny bit crispy\, but the flavor was superb and the fish was flaky and wonderful. I don't remember what the sauce was\, but damn it was good. \nThe Brussels Sprouts were that perfect balance between crispy and crunchy without being burnt. SO good.\nIf you're in this part of San Francisco\, Stop by. You'll be in for a great meal with really wonderful service staff.",16,1,0
72,"Cafe Claude",72,72,3,2014-8-11,"I would say this place has great ambiance and cocktails... but the food isn't spectacular. I wouldn't eat here again. There was a live singer which was lovely though\, as was the service.",26,1,0
73,"Town Hall",73,73,5,2018-2-5,"I was so excited when I saw their Crispy Fried Chicken Sandwich on MealPal. I'm a huge fan of tender fried chicken and frequented places like The Bird and Honeybird in LA recently. This is by far the best fried chicken sandwich I've ever had!! It came with lettuce\, tomatoes\, pickles\, and their special sauce. Even though it was prepared beforehand (as expected with MealPal) it was warm and tasty when I had it back in my office. I usually hate pickles on my burger but it balanced nicely with the other ingredients and the ""comeback sauce."" Honestly\, this place is way better than some of the super hyped up fried chicken places. Delicious & such a steal.",3,1,0
74,"Salt House",74,74,2,2016-3-2,"Very bad ramen\, but great cocktails. The broth of the ramen had no depth at all and honestly tasted a lot like soy sauce and water.",39,1,3
75,Bouche,75,75,5,2017-3-21,"This place is a total hidden gem in Union Square. I've been twice now and have been very satisfied with the meal each time. \n The ambiance\, food\, and service are all transportive--evoking a tiny Parisian neighborhood bistro. Good wines by the glass\, usually foie gras on the menu\, solid entree options\, and strong desserts.",12,1,1
76,Kusakabe,76,76,5,2018-4-9," Everything was so delicious here. We sat at the bar with Patrick as our chef and he was great.  Super accommodating and thoughtful.  The service is pretty good here - really polite.  They emphasize arriving on time and confirmed the reservations along with a reminder voicemail that it's pride weekend so it may take longer to get there\, which was nice.\n We had the petite 8-course menu and it took about 1.5 hours so don't be late!  Plan on getting there 15 min before and you'll be 5 min early probably.  Our fav was the amberjack\, hirame\, Japanese sweetfish with cucumber and the plate of assorted tapas. The tuna hand roll at the end was the best hand roll I've ever had - it had multiple layers and texture and the nori was so good.  Good experience sitting at the bar - be sure to request it when you make your reservation.",42,0,0
77,"Gary Danko",77,77,5,2014-3-19,"Oh my! Let's just say this place worth every penny!\nGreat service\, amazing food!\nThis is one of the fancy places that I will visit more than one time.\nWill definitely recommend people to try it out.",46,0,0
78,Californios,78,78,5,2016-10-27,"What a fantastic meal.   Loved it.   There are no other Mexican restaurants with two michelin stars in the county\, so it's the best you will get in the USA.   This past xmas\, I ate at Quintonil and Pujol in Mexico City\, and this is on par with those places.   I would still rank Quintonil as the gold standard\, but Californios is better than Pujol imho.",12,0,0
79,Acquerello,79,79,5,2018-6-13,"A review is not necessary for this renown restaurant\, but I will write one nevertheless because we loved our experience so much.\nAcquerello is the most notable restaurant to visit in San Francisco. Quality of service\, visual presentation\, taste experience...beyond words.",6,0,0
80,Ju-ni,80,80,5,2014-4-2,"i've been to a couple of ~fancy~ sushi places in the bay now\, and i think ju-ni is pretty up there in my rankings.\nshaved monkfish liver was pretty interesting. was also the first time i've had finger limes!! what a weird fruit\, but i dig it.\nalso i'm incredibly awkward and my least favorite part of omakase experiences is feeling like i have to be super engaged with the chef or the people seated near us\, but the guy we had was really chill so i didn't mind talking back lol. forgot his name though :(",0,0,3
81,"Lazy Bear",81,81,5,2017-9-16,"I always felt these X course meals suck and I will always leave hungry.  I was wrong\, so wrong\, least with Lazy Bear.  Towards the end of the meal\, I didn't feel like eating anymore\, but I wasn't stuffed.  It was a great experience.  I arrived late 20 min late and was still able to experience the upstairs/lounge area and had some snacks or whatnot.  The dining environment was very different for me.  I'm always used to being in my own world and enjoying my food.  I'm not much of a social person and both parties from either side did not bother me.  Maybe they thought I didn't speak english?  Who knows.  My date loved the experience and food.  The food wasn't to my liking\, but it was still very tasty.  For every meal\, the chef will come out and explain how the dish was cooked.  That is a very nice touch and made the dining experience better.\nIt was hard not to give them five stars but I've been to a lot of Michelin-starred restaurants lately and I feel that Benu's ambiance was not up to par with the likes of Quince or Atelier Crenn.  The dining hall felt dark and did not have the opulence or the warmth I experienced at other restaurants at this price level.  Service was good but not up to par with others (this is also an area where other two and three star Michelin restaurants excel).  It's a C for ambiance and a B- for hospitality.  I also wished they offered a non-alcoholic beverage pairing (other than tea) to really enhance the overall experience.\nI feel like I've checked off a bucket list item by coming here but I really don't think I would recommend Benu.  For $400 per person just for the tasting menu\, I expected a fantastic overall experience but Benu fell a little short.",18,2,8
82,Benu,82,82,4,2018-1-3,"I think this represents San Francisco Asian fusion at its absolute best. The food was excellent and is the best blend of East and West I've had in a very long time.  The outstanding items were the faux shark's fin soup\, lobster coral soup dumpling\, steamed bun with black truffle and the desserts.  The barley infusion (non-caffeinated) tea was also very good.  The food quantity was just enough (I was concerned that I would need a burger after this meal based on my experience with the chef's other restaurant\, In Situ).  On food alone\, Benu is A+++.\n",4,0,0
83,"Ijji Sushi",83,83,5,2014-2-22,"Ijji Sushi is definitely one of the top omokase joints in San Francisco. First of all the front of this business doesn't make it obvious that it's a nice sushi joint--look for the blue cloth hanging over the entrance. Secondly\, the small/intimate dining room makes the experience feel higher quality (extreme opposite of a churn and burn AYCE sushi buffet). Thirdly and most importantly\, the food is amazing. There's no need to go into detail about the food when you know it's going to be good and you just need to let the magic occur. With utter certainty\, everything you put into your mouth here is worth a million bucks. Feast your eyes on the pictures I posted and don't worry\, those goosebumps will go away in about 5 minutes.",445,0,0
